temperature,humidity,ambient_light,soil_moisture,ethylene_ppb,CO2_ppm
22.64,34.93,8286.25,24.88,1.05,340.19
15.7,81.72,6111.38,35.27,4.28,502.37
16.19,52.06,5404.45,12.83,1.62,380.45
32.8,49.57,8854.89,35.74,1.76,612.24
33.71,46.97,6044.57,31.52,2.46,685.36
28.35,51.65,3974.74,10.04,4.78,471.58
31.87,74.08,1491.63,30.73,4.06,422.93
15.11,41.95,7392.34,39.94,1.31,595.88
20.58,85.0,5298.24,18.38,4.98,760.74
25.9,33.7,7732.65,14.16,4.39,458.53
27.05,32.14,4308.1,25.9,1.48,416.74
33.66,60.77,4099.41,21.19,1.0,566.94
25.16,89.84,4850.52,18.7,2.09,360.59
29.38,51.93,7418.54,34.53,3.33,495.83
28.24,36.35,3290.29,14.35,2.53,502.14
28.89,60.16,3731.85,30.46,0.54,641.09
20.62,89.19,8422.5,24.21,1.49,750.2
32.36,52.41,7797.99,11.09,4.13,432.98
24.03,80.49,7197.58,17.34,1.14,426.82
34.45,87.19,4034.57,17.24,3.75,791.65
29.68,64.35,3461.53,36.27,4.37,358.84
24.74,41.2,6605.18,28.99,1.03,725.58
16.96,37.08,7652.79,17.39,2.34,616.27
25.36,69.06,8779.8,29.23,3.53,340.76
16.51,81.09,5293.89,24.5,3.38,434.96
22.65,87.57,2926.68,22.38,0.99,545.96
20.09,66.22,8459.74,25.04,3.74,392.46
23.33,84.32,2418.59,31.74,0.57,363.41
30.07,46.08,1626.74,22.04,4.48,405.28
19.39,30.6,4493.54,39.16,4.98,383.07
23.18,78.44,8178.94,19.13,2.76,399.98
18.72,69.74,9376.95,11.38,4.32,498.13
21.18,69.54,8521.92,12.39,1.83,733.61
18.17,39.54,2034.79,29.55,4.79,540.62
27.2,39.46,4934.13,27.56,1.21,756.25
33.7,59.39,4192.8,35.46,0.9,418.88
18.49,63.19,1196.87,12.78,4.93,361.45
31.68,85.31,1818.06,12.01,0.91,427.35
30.4,40.63,2386.6,14.45,1.84,723.9
30.81,58.55,9823.99,19.82,0.6,785.71
30.35,30.9,1001.89,27.49,2.58,469.26
25.79,86.22,6036.0,27.77,4.27,792.56
19.59,44.64,2528.05,39.64,0.81,576.83
25.97,56.06,5516.66,11.94,4.13,490.53
27.99,37.57,5550.6,34.31,1.78,455.81
24.05,78.19,4029.18,12.45,5.0,534.36
31.48,39.29,4809.82,28.03,2.53,409.71
23.52,72.17,8342.25,20.63,0.96,547.87
15.65,41.22,3543.41,34.98,1.02,317.47
18.96,86.89,2945.55,18.88,2.2,346.24
20.95,67.67,4685.7,28.15,1.79,443.83
20.67,40.67,6091.41,25.97,3.24,741.81
25.33,40.54,5557.67,17.08,1.44,350.69
34.17,51.05,5323.06,17.83,2.38,663.08
20.81,76.55,7091.85,10.44,4.05,779.92
16.47,62.1,7796.75,22.75,4.39,604.5
30.76,80.86,5750.84,28.11,0.93,357.95
24.01,59.83,9838.34,25.44,2.45,639.53
34.31,85.91,5424.88,20.21,4.21,540.66
22.12,62.79,6200.92,19.83,1.23,500.81
16.74,42.31,4177.37,11.05,3.35,442.51
33.53,35.12,5580.49,11.84,1.46,449.17
28.73,46.47,3196.06,10.7,3.59,560.08
27.8,62.35,3032.36,28.84,0.76,556.57
